Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
LG Electronics,3400,4.0,Consumer Electronics & Appliances,10500,207,1,1958.0,67,lg.com
Thermax Limited,3400,4.1,Industrial Machinery,12200,261,36,1966.0,59,thermaxglobal.com
Macleods Pharmaceuticals,3400,3.6,Unknown,14900,210,12,1986.0,39,macleodspharma.com
Aakash Educational Services,3400,3.4,Education & Training,12400,317,86,1988.0,37,aakash.ac.in
HDFC Ergo General Insurance,3300,3.9,Insurance,11600,155,0,2002.0,23,hdfcergo.com
Tata AIA Life Insurance,3300,4.0,Insurance,12800,182,141,2001.0,24,tataaia.com
Utkarsh Small Finance Bank,3300,3.8,Banking,10000,229,22,2009.0,16,utkarsh.bank
Publicis Sapient,3300,3.5,IT Services & Consulting,27400,627,192,1990.0,35,careers.publicissapient.com Career pagehttps://careers.publicissapient.com
DCB Bank,3300,3.8,Banking,9400,190,239,1930.0,95,dcbbank.com
Cummins,3300,4.3,Industrial Machinery,15100,239,84,1919.0,106,cummins.com
VE Commercial Vehicles,3200,3.9,Automobile,13100,225,8,2008.0,17,vecv.in
PVR Inox,3200,4.0,Media & Entertainment,9400,172,33,1997.0,28,pvrcinemas.com
Viatris,3200,4.2,Pharma,13800,141,5,2020.0,5,viatris.com
Berger Paints,3200,3.7,Chemicals,9000,272,162,1923.0,102,bergerpaints.com
Carelon Global Solutions,3200,3.9,Software Product,25000,368,14,Not Available,0,carelonglobal.in
Godrej & Boyce Manufacturing,3200,3.9,Consumer Electronics & Appliances,15400,183,69,1897.0,128,godrej.com
Samvardhana Motherson Group,3200,3.7,Auto Components,12600,221,7,1986.0,39,motherson.com
Lenskart,3200,3.2,Internet,11100,325,144,2010.0,15,lenskart.com
Subros,3200,3.8,Auto Components,12200,173,1,1985.0,40,subros.com
Pidilite Industries,3200,4.3,Chemicals,10100,209,6,1959.0,66,pidilite.com
Automatic Data Processing (ADP),3200,4.0,Software Product,20300,245,29,1949.0,76,in.adp.com
Alembic Pharmaceuticals,3200,4.0,Pharma,14200,208,61,1907.0,118,alembicpharmaceuticals.com
American Express,3200,4.2,Financial Services,21600,368,206,1850.0,175,americanexpress.com
Bank of America,3200,4.2,Banking,25500,242,57,1998.0,27,bankofamerica.com
Abbott,3100,4.1,Pharma,11200,153,266,1888.0,137,abbott.com
Sodexo,3100,4.1,Facility Management Services,9700,166,100,1966.0,59,sodexo.com
Jindal Steel and Power,3100,3.9,Iron & Steel,14200,325,18,1979.0,46,jindalsteel.com
Hindalco Industries,3100,4.2,Metals & Mining,10700,221,61,1958.0,67,hindalco.com
Bharat Electronics,3100,4.2,Electronics Manufacturing,12000,212,0,1954.0,71,bel-india.in
RBL Bank,3100,3.6,Banking,17000,180,26,1943.0,82,rblbank.com
Jubilant Foods Works,3100,3.7,Hospitality,8400,187,40,1995.0,30,jubilantfoodworks.com
Kogta Financial India Limited,3000,4.7,NBFC,1700,86,50,1996.0,29,kogta.in
Reliance Projects & Property Management Services,3100,4.0,IT Services & Consulting,6800,178,0,Not Available,0,ril.com
Indian Oil Corporation,3100,4.4,Oil & Gas,7800,211,0,1959.0,66,iocl.com
Future Group,3000,4.2,Retail,9300,80,0,2013.0,12,futuregroup.in
Birlasoft,3100,3.6,IT Services & Consulting,28700,286,11,1995.0,30,birlasoft.com
Synechron,3100,3.5,IT Services & Consulting,27400,369,179,2001.0,24,synechron.com
Escorts Kubota Limited,3100,4.1,Automobile,12100,236,12,1944.0,81,escortskubota.com
Cogent E Services,3000,3.3,Unknown,9500,246,2,2004.0,21,cogenteservices.com
Maersk,3100,4.1,Logistics,17500,207,138,1904.0,121,maersk.com
Dabur,3000,4.0,FMCG,8400,277,45,1884.0,141,dabur.com
Marpu Foundation ,3000,4.8,Non-Profit,50,88,0,2016.0,9,marpu.org
Reliance Digital,3000,4.1,Retail,7900,132,0,2007.0,18,reliancedigital.in
Johnson Controls,3000,3.6,Industrial Automation,16300,265,244,1885.0,140,johnsoncontrols.in
Ford Motor,3000,4.3,Automobile,14500,151,0,1903.0,122,corporate.ford.com
"NTT DATA, Inc.",3000,4.0,IT Services & Consulting,26100,125,727,1967.0,58,us.nttdata.com Career pagehttps://us.nttdata.com/en/careers Follow us on naukrihttps://www.naukri.com
State Street Corporation,3000,3.7,Financial Services,27500,233,4,1792.0,233,statestreet.com
Glenmark Pharmaceuticals,2900,3.9,Pharma,11400,142,110,1977.0,48,glenmarkpharma.com
Alkem Laboratories,2900,3.9,Pharma,9300,155,77,1973.0,52,alkemlabs.com
Ipca Laboratories,3000,3.9,Pharma,11100,163,44,1949.0,76,ipca.com
24/7 Customer,2900,3.5,Software Product,13300,176,28,2000.0,25,247.ai
UBS,2900,3.9,Financial Services,29100,341,0,1998.0,27,ubs.com
PNB MetLife,2900,3.4,Insurance,7600,157,313,2001.0,24,pnbmetlife.com
Aarti Industries,2900,4.1,Agro Chemicals,13800,289,26,1975.0,50,aarti-industries.com
Vishal Mega Mart,2900,3.7,Retail,6300,163,0,2008.0,17,vishalmegamart.com
Kotak Mahindara Life Insurance,2900,3.7,Insurance,11600,226,103,2001.0,24,kotaklife.com
Kyndryl,3000,4.0,IT Services & Consulting,21500,190,69,2022.0,3,kyndryl.com Career pagehttps://www.kyndryl.com/in/en/careers Follow us on naukrihttps://www.naukri.com/kyndryl-overview-5462642 Company contact no.9980851851 E-mailinquiry@kyndryl.com
JK Cement,2900,4.1,Building Material,8900,275,0,1975.0,50,jkcement.com
Honda Motorcycle & Scooter ,2900,4.1,Automobile,10900,157,0,2001.0,24,honda2wheelersindia.com
KPIT Technologies,2900,3.4,Software Product,21000,292,33,1990.0,35,kpit.com
MRF Tyres,2900,3.7,Auto Components,11500,314,17,1946.0,79,mrftyres.com
Indian Air Force,2800,4.5,Defence & Aerospace,5100,56,0,1932.0,93,indianairforce.nic.in
Hindustan Coca Cola Beverages,2800,4.1,Beverage,7300,140,48,1997.0,28,hccb.in
HARMAN,2800,3.7,Consumer Electronics & Appliances,23600,267,326,2009.0,16,harman.com
Motilal Oswal Financial Services,2900,3.7,Financial Services,10500,275,36,1987.0,38,motilaloswalgroup.com
DTDC Express,2800,3.7,Logistics,8500,156,19,1990.0,35,dtdc.in
IGT Solutions,2800,3.3,IT Services & Consulting,12400,222,115,1998.0,27,igtsolutions.com
Aditya Birla Sun Life Insurance,2900,4.0,Insurance,9100,140,2,2000.0,25,lifeinsurance.adityabirlacapital.com
Reliance Nippon Life Insurance,2800,3.6,Insurance,8300,141,7,2000.0,25,reliancenipponlife.com
ABB,2800,4.1,Industrial Machinery,16000,243,22,1988.0,37,global.abb
Conduent,2800,3.5,BPO,17600,199,54,2017.0,8,conduent.com
Ceat Tyres,2800,4.0,Auto Components,12300,169,1,1958.0,67,ceat.com
NatWest Group,2800,4.0,Banking,19600,209,0,Not Available,0,natwestgroup.com
Square Yards,2700,3.7,Internet,8700,204,55,2014.0,11,squareyards.com
GeBBS Healthcare Solutions,2800,3.7,Healthcare,11200,151,47,2005.0,20,gebbs.com
InterGlobe Aviation,2700,3.6,Aviation,12900,325,32,2005.0,20,goindigo.in
Grasim Industries,2800,4.0,Building Material,10800,216,4,1947.0,78,grasim.com
Whitehat jr,2700,3.4,EdTech,9500,262,0,2018.0,7,whitehatjr.com
UnitedHealth,2700,4.0,Healthcare,17100,84,0,1977.0,48,unitedhealthgroup.com
Alstom Transportation,2700,3.7,Engineering & Construction,13000,247,115,1928.0,97,alstom.com
ArcelorMittal Nippon Steel,2700,4.1,Iron & Steel,10100,235,11,Not Available,0,amns.in
RSPL Group,2700,4.1,FMCG,9000,196,31,Not Available,0,rsplgroup.com
Tata Capital,2700,4.0,NBFC,9600,144,1100,2007.0,18,tatacapital.com
CMS IT Services,2700,3.1,IT Services & Consulting,10000,138,5,2014.0,11,cmsitservices.com
Max Healthcare,2700,4.1,Healthcare,9600,145,104,2001.0,24,maxhealthcare.in
Tata Technologies,2700,3.6,Engineering & Construction,20500,267,115,1989.0,36,tatatechnologies.com
Tata AIG,2600,4.1,Insurance,10700,160,119,2000.0,25,tataaig.com
PepsiCo,2600,4.0,Food Processing,11400,203,319,1965.0,60,pepsicoindia.co.in
S&P Global,2600,4.1,Analytics & KPO,18100,285,251,1860.0,165,spglobal.com
Titan Company,2600,4.3,Retail,8900,159,68,1984.0,41,titancompany.in
Varroc Group,2600,3.6,Auto Components,8900,182,16,1988.0,37,varroc.com
UNO Minda,2600,4.0,Auto Components,9700,186,15,1958.0,67,unominda.com
Amazon Transportation Services,2600,4.2,Unknown,7600,229,0,2012.0,13,amazon.in
UPL,2600,4.1,Agro Chemicals,10900,182,65,1969.0,56,upl-ltd.com
ACC,2600,3.9,Building Material,9300,198,2,1936.0,89,acclimited.com
Zensar Technologies,2600,3.7,IT Services & Consulting,25300,256,296,2001.0,24,zensar.com
Torrent Pharmaceuticals,2600,3.9,Pharma,10000,131,46,1971.0,54,torrentpharma.com
Croma,2600,4.0,Retail,7700,137,48,2006.0,19,croma.com
Mankind Pharma,2500,3.9,Pharma,8600,203,16,1995.0,30,mankindpharma.com
Walmart,2600,3.7,Retail,18000,390,242,2009.0,16,walmart.com
Afcons Infrastructure,2500,4.2,Engineering & Construction,8100,215,4,1959.0,66,afcons.com
Shoppers Stop,2500,4.1,Retail,7100,115,9,1991.0,34,shoppersstop.com
Bajaj Allianz General Insurance,2500,3.9,Insurance,8900,98,284,Not Available,0,bajajallianz.com
Societe Generale Global Solution Centre,2500,3.8,IT Services & Consulting,20700,257,23,2000.0,25,globalsolutioncenter.societegenerale.in
Barclays,2600,3.8,Banking,25500,279,0,1690.0,335,home.barclays
Dilip Buildcon,2500,4.0,Engineering & Construction,8100,148,11,1987.0,38,dilipbuildcon.co.in
TVS Credit,2500,4.3,NBFC,6600,115,24,2008.0,17,tvscredit.com
I Process Services,2500,3.9,Unknown,5400,105,0,2005.0,20,iprocess.in
Quest Global,2500,3.6,IT Services & Consulting,19000,312,107,1997.0,28,quest-global.com
HDFC Sales,2500,4.0,Financial Services,8100,168,26,2004.0,21,hdfcsales.com
Capita,2400,3.6,IT Services & Consulting,13700,149,46,2005.0,20,capita.com
Flex,2400,4.0,Electronics Manufacturing,16600,190,59,1969.0,56,flex.com
Sahrudaya Healthcare (Medicover Hospitals),2400,4.5,Healthcare,3200,126,29,2011.0,14,medicoverhospitals.in
Nokia,2500,4.1,Telecom,15200,269,77,1865.0,160,nokia.com
MSN Laboratories,2400,3.7,Pharma,8500,137,49,2003.0,22,msnlabs.com
ElasticRun,2400,3.5,Logistics,6300,255,6,2016.0,9,elastic.run
Fiserv,2400,3.0,FinTech,18400,176,41,1984.0,41,fiserv.com
PhonePe,2500,4.0,FinTech,10600,313,147,2015.0,10,phonepe.com
Apollo Tyres,2400,4.0,Auto Components,9500,134,3,1972.0,53,apollotyres.com
Nestle,2400,3.9,FMCG,9300,240,76,1959.0,66,nestle.in
IKS Health,2400,3.6,BPO,10100,235,42,2007.0,18,ikshealth.com
Statestreet HCL Services,2300,3.3,BPO,15900,211,0,2012.0,13,statestreet.com
GATI-KWE ,2300,3.9,Logistics,5600,89,5,2012.0,13,gati.com
Suzlon Group,2300,4.1,Power,7600,132,49,1995.0,30,suzlon.com
Zomato,2400,3.8,Internet,13100,317,3,2008.0,17,eternal.com
Landmark Group,2300,4.0,Retail,9200,152,3,1973.0,52,landmarkgroup.com
AGS Health,2300,4.0,Analytics & KPO,10600,164,29,2011.0,14,agshealth.com
IDFC FIRST Bharat ,2300,4.4,Financial Services,4600,112,0,2016.0,9,idfcbharat.com
Sammaan Capital Limited,2300,3.7,NBFC,7300,105,21,2005.0,20,indiabullshomeloans.com
Blue Dart Express,2300,4.0,Logistics,6400,104,4,1983.0,42,bluedart.com
BlackBuck,2300,3.8,Internet,6500,184,7,2015.0,10,blackbuck.com
Fujitsu,2300,3.8,IT Services & Consulting,16300,189,82,1935.0,90,fujitsu.com
DS Group,2300,4.1,FMCG,6800,155,35,1929.0,96,dsgroup.com
Paras Hospital,2300,4.4,Healthcare,3000,82,25,2006.0,19,parashospitals.com
Yazaki,2300,3.8,Auto Components,8200,139,6,1941.0,84,yazaki-group.com
Shree Cement,2300,3.8,Building Material,9300,164,0,1979.0,46,shreecement.com
Domino's Pizza,2300,3.9,Unknown,4200,90,0,1960.0,65,dominos.com
